"time, ms",heartbeat count,"heartbeat rate, ms","balance, Cycles","burned, Cycles","burn rate, Cycles/s","burn rate, BCycles/y",---,"burn rate, TCycles/y"
2089,3,696,3892847405326,3625966,1735742,54738,,54.7
47240,67,705,3892807774034,43257258,915691,28877,,28.9
77129,110,701,3892780535420,70495872,913999,28823,,28.8
136052,194,701,3892729103014,121928278,896188,28262,,28.3
254854,363,702,3892627507202,223524090,877067,27659,,27.7
399467,567,704,3892505259280,345772012,865583,27297,,27.3
705051,1002,703,3892246690614,604340678,857158,27031,,27.0
767728,1091,703,3892192306126,658725166,858018,27058,,27.1
918973,1306,703,3892063564376,787466916,856898,27023,,27.0
,,,,,,,,0.0
,,,,,,,,0.0